source,target,relationship,edge_type,metadata
17f69a61779l0i1ulv0a3ru8iy0zh5,17f69a3190el0i1pqs4x6j5c6xpye,drops,drop,{}
17f69bd3c06l0i1ulx2jxbiogta1i,17f69886115l0i2m7307w4njyfhwt5,found_in,location,{}
17f69bd3c06l0i1ulx2jxbiogta1i,17f699441c2l0i2men3bc9smd0h3jp,found_in,location,{}
17f69bd3c06l0i1ulx2jxbiogta1i,17f697e45b3l0i2sol3u2c1y0ja11,drops,drop,{}
17f69bd3c06l0i1ulx2jxbiogta1i,17f69d47ea5l0i2sokp40249x3da4f,drops,drop,{}
17f69bd3c06l0i1ulx2jxbiogta1i,17f69a39644l0i2mr10gkkf9agp8m7,drops,drop,{}
17f69bd3c06l0i1ulx2jxbiogta1i,17f69c9bfc8l0i2sze3h5gawcr577p,drops,drop,{}
17f69bd3c06l0i1ulx2jxbiogta1i,17f69bb7d32l0i1ou85ft99zwecdel,drops,drop,{}
17f69637e92l0i1um8wqsflgk3i9yr,17f697d9a68l0i1oqeay5e8bb4oc3g,drops,drop,{}
17f697f48d5l0i1umdbu7v5phffgq,17f69c93d09l0i2m9yixlupxvwoc7r,found_in,location,{}
17f69563d15l0i1umhb4am3xzuib3g,17f69bc3adbl0i2mjzcn0qc9u6t9bk,found_in,location,{}
17f69563d15l0i1umhb4am3xzuib3g,17f69a2445bl0i2svl6l9dei5cxhbd,drops,drop,{}
17f69563d15l0i1umhb4am3xzuib3g,17f6990b8f9l0i1poeub82lv32r18o,drops,drop,{}
17f69d6ca41l0i1umlxg0j36mhrnzr,17f6956fa2el0i209gnb9oi6el6zzg,drops,drop,{}
17f698b7d2fl0i1umtkf7cu5a21hdw,17f69912ed2l0i1oxzumweqnzkb2tl,drops,drop,{}
17f69562d87l0i1umxu2qwle86ai8q,17f6991e5c5l0i1p8vp4fgo45r89ky,drops,drop,{}
17f69562d87l0i1umxu2qwle86ai8q,17f69799c84l0i205u6lcu7cimt6go,drops,drop,{}
17f699b0755l0i1un48m87fngquaw,17f69914456l0i1p5gc8d6bi642ubp,drops,drop,{}
17f699b0755l0i1un48m87fngquaw,17f6942b378l0i0osl39wglen5m7i9,drops,drop,{}
17f699b0755l0i1un48m87fngquaw,17f69c07710l0i0nkbcxuu9u5cmd9,drops,drop,{}
17f699b0755l0i1un48m87fngquaw,17f699674a7l0i0o9cphpbh7jo0gv7,drops,drop,{}
17f699b0755l0i1un48m87fngquaw,17f69549e50l0i0pi11yunxsy375d,drops,drop,{}
17f695b37c1l0i1ungf7vjojqaf4zp,17f69eea151l0i2mdvyoq9hes3awih,found_in,location,{}
17f695b37c1l0i1ungf7vjojqaf4zp,17f697f9642l0i2molzde5v6dex4io,found_in,location,{}
17f695b37c1l0i1ungf7vjojqaf4zp,wiki_crystal_release,drops,drop,{}
17f69e151d8l0i1uo19hl8r6l0snmo,17f69b3ce89l0i2sxo7j01c9t4v2b,drops,drop,{}
17f69e151d8l0i1uo19hl8r6l0snmo,17f69ad7529l0i2syzo9ji7wrucoq5,drops,drop,{}
17f69bcc1cdl0i1uoai2hm5tcbuhh2,17f6956fa2el0i209gnb9oi6el6zzg,drops,drop,{}
17f6961da46l0i1uoh7hemoben3dtg,17f697edfb9l0i2m79bx2q2xwbbjtl,found_in,location,{}
17f6961da46l0i1uoh7hemoben3dtg,17f69d455c5l0i205a3k0wzn2ypqle,drops,drop,{}
17f6961da46l0i1uoh7hemoben3dtg,17f69a35611l0i20597yedxrkvphsh,drops,drop,{}
17f69559137l0i1uoqf3qzndh0901t,17f69c3d8d6l0i20606xv4qubbfu7p,drops,drop,{}
17f69559137l0i1uoqf3qzndh0901t,17f69d9db08l0i1znvqfeg973qx3p,drops,drop,{}
17f69b39c43l0i1up7iq7q4lvvgyc,17f69dd8093l0i1oj6x6qo6tg76q8,drops,drop,{}
17f69625d6el0i1upqw478c5kvsjv3,17f69625085l0i2mnshaufkjhe4gok,found_in,location,{}
17f69625d6el0i1upqw478c5kvsjv3,17f69469b4bl0i1oo41w96vla79ii,drops,drop,{}
17f69625d6el0i1upqw478c5kvsjv3,wiki_dragonclaw_shield,drops,drop,{}
17f69de1071l0i1uprrms3umg3rug,17f69c95d75l0i1paugymrcjquua4q,drops,drop,{}
17f69b43b78l0i1upyrupf0wna8q7a,17f69e49901l0i2mdbbaoshgf9r6xb,found_in,location,{}
17f69b43b78l0i1upyrupf0wna8q7a,17f699441c2l0i2men3bc9smd0h3jp,found_in,location,{}
17f69b43b78l0i1upyrupf0wna8q7a,17f696635c6l0i2mkuc7ifimqdqkmw,found_in,location,{}
17f69b43b78l0i1upyrupf0wna8q7a,wiki_lhutel_the_headless,drops,drop,{}
17f69a6fae3l0i1uq63au7m71cs8mh,17f6973afc2l0i2ma51e7fflgwsv2m,found_in,location,{}
17f69a6fae3l0i1uq63au7m71cs8mh,17f693bd4f8l0hynrzaixs0xzre1q,drops,drop,{}
17f69a6fae3l0i1uq63au7m71cs8mh,17f695ad891l0hynrxcposdnx7gy9h,drops,drop,{}
17f699200d2l0i1uqbs9w1ijmp2ner,17f6939dc0dl0hyo003ig3i03oy5eh,drops,drop,{}
17f69bf3366l0i1uqds10qc8exqn1ik,17f69c5468fl0i203fvz09odp0k4pq,drops,drop,{}
17f699dadfbl0i1uqmgi50oii11eaj,17f69aed689l0i203q40vkjazumcks,drops,drop,{}
17f695cb903l0i1uqqf40ik8th6wqw,17f6981f5f9l0i2mpl63u29r5fa3te,found_in,location,{}
17f695cb903l0i1uqqf40ik8th6wqw,17f69af1239l0i1p6tbsakd85i69of,drops,drop,{}
17f695cb903l0i1uqqf40ik8th6wqw,wiki_briar_greatshield,drops,drop,{}
17f69579c3dl0i1uqxt6ul73e103ur,17f69c66a45l0i2sswom5whqqzshn,drops,drop,{}
17f6969fb51l0i1ur3o74ppc7h3gl5,17f6967f4a6l0i2mcivef17883vmx4,found_in,location,{}
17f6969fb51l0i1ur3o74ppc7h3gl5,17f69f56f55l0i2mhypmucze7mfrzc,found_in,location,{}
17f6969fb51l0i1ur3o74ppc7h3gl5,17f69654a3dl0i2mmit9ec0mmxu749,found_in,location,{}
17f6969fb51l0i1ur3o74ppc7h3gl5,17f69d744c5l0i20jwe37b04q6po19,drops,drop,{}
17f6969fb51l0i1ur3o74ppc7h3gl5,17f69da9423l0i20jnhwocxfpp5qa,drops,drop,{}
17f6969fb51l0i1ur3o74ppc7h3gl5,17f697c721fl0i20j4uws9c44dnb3e,drops,drop,{}
17f6969fb51l0i1ur3o74ppc7h3gl5,17f69730a73l0i20ivfxo0h69aodo,drops,drop,{}
17f6969fb51l0i1ur3o74ppc7h3gl5,17f69e3acc0l0i20kqrn0lto40la6k,drops,drop,{}
17f6969fb51l0i1ur3o74ppc7h3gl5,17f6973d2b5l0i20kjwc86cu35lbi,drops,drop,{}
17f6969fb51l0i1ur3o74ppc7h3gl5,17f6951b682l0i20km8uli0fh4xor8,drops,drop,{}
17f6969fb51l0i1ur3o74ppc7h3gl5,17f69d587e6l0i20ldq6svu7yi213g,drops,drop,{}
17f6969fb51l0i1ur3o74ppc7h3gl5,17f69b0a8d8l0i20liyue9ium4r8va,drops,drop,{}
17f6969fb51l0i1ur3o74ppc7h3gl5,17f697c721fl0i20j4uws9c44dnb3e,drops,drop,{}
17f6969fb51l0i1ur3o74ppc7h3gl5,17f69880f5cl0i20lxljnhf615863,drops,drop,{}
17f69aae933l0i1urbz9zyz3jjvhjf,17f69e4cd2al0i2mmjf7o5gwy7nhbg,found_in,location,{}
17f69aae933l0i1urbz9zyz3jjvhjf,wiki_somberstone_miners_bell_bearing_(1),drops,drop,{}
17f69aae933l0i1urbz9zyz3jjvhjf,wiki_somber_smithing_stone_(6),drops,drop,{}
17f69c5a361l0i1urf5b4r5s5cf125,17f69625085l0i2mnshaufkjhe4gok,found_in,location,{}
17f69c5a361l0i1urf5b4r5s5cf125,wiki_omenkiller_rollo,drops,drop,{}
17f695d42c3l0i1uriibjok1ydfodg,wiki_fias_mist,drops,drop,{}
17f69725115l0i1urx3t47u0gfs43,17f6986ad2el0i2m7q7y6gl2myxkh8,found_in,location,{}
17f69725115l0i1urx3t47u0gfs43,17f6956fa2el0i209gnb9oi6el6zzg,drops,drop,{}
17f69ba1aa7l0i1us08w3dodkoeju,17f69b51e87l0i202t1add41xwy9y7,drops,drop,{}
17f69846e66l0i1us1stxjbqloi1z,17f6956fa2el0i209gnb9oi6el6zzg,drops,drop,{}
17f696b2a70l0i1us26mtvbp7p85,17f69d11b53l0i2mlurz5othyaw2yn,found_in,location,{}
17f696b2a70l0i1us26mtvbp7p85,wiki_putrid_corpse_ashes,drops,drop,{}
17f6953dec4l0i1uso41jlanmo9c4v,17f6956fa2el0i209gnb9oi6el6zzg,drops,drop,{}
17f695d390el0i1usszzihpctlfb2,wiki_adulas_moonblade,drops,drop,{}
17f69c4aefal0i1usvodp9osviy7v,17f698e4311l0i2mo8fibxu670d50f,found_in,location,{}
17f69c4aefal0i1usvodp9osviy7v,17f69c0c973l0i2sw8w6uvbwqiqfmy,drops,drop,{}
17f696099a7l0i1ut7jqzmbg7hm5tk,17f698e4311l0i2mo8fibxu670d50f,found_in,location,{}
17f696099a7l0i1ut7jqzmbg7hm5tk,17f69c0c973l0i2sw8w6uvbwqiqfmy,drops,drop,{}
17f69a82a2el0i1uta5rxvqv53g7e,17f6995d3d0l0i202bb7hvshtg9usl,drops,drop,{}
17f697d2396l0i1utcv9km3qxcnt6m,17f69b3daf5l0i2065ib5jg6rmi10i,drops,drop,{}
17f69b45618l0i1uuc1z6qlw7hnnq,17f69528e34l0i1pq5pn4dg3bbkmj,drops,drop,{}
17f69b45618l0i1uuc1z6qlw7hnnq,17f692422c4l0hyo84mlas2e4zch5,drops,drop,{}
17f69b45618l0i1uuc1z6qlw7hnnq,17f6989b8a1l0i0oxc717li12uf4am,drops,drop,{}
17f69b45618l0i1uuc1z6qlw7hnnq,17f69587918l0i0nrw5hhe7jpirj1l,drops,drop,{}
17f69b45618l0i1uuc1z6qlw7hnnq,17f695cd952l0i0pkshargec6vkeul,drops,drop,{}
17f69b45618l0i1uuc1z6qlw7hnnq,17f69c7f897l0i2srkhjmyvn5rfnva,drops,drop,{}
17f69b45618l0i1uuc1z6qlw7hnnq,17f69860befl0hyntmsoo0kq76fsvd,drops,drop,{}
17f69e15137l0i1uu7e0w9qynlhveh,17f6963cc83l0i1pk36gu3e5f8fpxm,drops,drop,{}
17f69814439l0i1uuifby3b0bn9gs,17f69a25d31l0i2muhzfvabyqxiv2v,found_in,location,{}
17f69814439l0i1uuifby3b0bn9gs,17f69c7f897l0i2srkhjmyvn5rfnva,drops,drop,{}
17f69814439l0i1uuifby3b0bn9gs,17f69860befl0hyntmsoo0kq76fsvd,drops,drop,{}
17f69814439l0i1uuifby3b0bn9gs,17f6969f10el0i1pecne5vzed6lx56,drops,drop,{}
17f69814439l0i1uuifby3b0bn9gs,17f6962911el0hyo4s02nf0ie24nvc,drops,drop,{}
17f69bf253bl0i1uuma3733w2zwodm,17f69da909al0i20aqnq0fxca1m5be,drops,drop,{}
17f69bf253bl0i1uuma3733w2zwodm,17f69523142l0i1pm7iurzr5rt7vpb,drops,drop,{}
17f69bf253bl0i1uuma3733w2zwodm,wiki_golden_beast_crest_shield,drops,drop,{}
17f695022a1l0i1uv9aohy5ip9yh9f,17f6995d3d0l0i202bb7hvshtg9usl,drops,drop,{}
17f69b5bcb4l0i1uvn888e99evsdgh,17f6967952el0i2mrhy8fpgqo0f4hr,found_in,location,{}
17f69b5bcb4l0i1uvn888e99evsdgh,17f69cd1ed6l0i2ssohaju8uk3qvro,drops,drop,{}
17f69cbe6cbl0i1uvgek1x2hoimz99,17f699b601fl0i2m8statevuowxrrb,found_in,location,{}
17f69cbe6cbl0i1uvgek1x2hoimz99,17f69811f79l0i2spa5kavq1z95u5i,drops,drop,{}
17f69644c82l0i1uw7sqlk2v4b6bfg,17f69a8e6e3l0i2mbkue80sw8q9e9m,found_in,location,{}
17f69644c82l0i1uw7sqlk2v4b6bfg,17f69ba4b74l0i1omi90yu0wdq7oxu,drops,drop,{}
17f699223e7l0i1uwcol7wflmcgajb,17f6968b770l0i203kwq77zbsiq5om,drops,drop,{}
17f69a078e0l0i1uwdp4xqjq6cpbxl,17f69d6cc12l0i2maurcz3u35zq1e6,found_in,location,{}
17f69a078e0l0i1uwdp4xqjq6cpbxl,17f69935509l0i2mkr8vjb9f4f94v,found_in,location,{}
17f69bfa759l0i1uwfa0yrdvzcov1i,17f69b4d520l0i2mln0ngtae6zndll,found_in,location,{}
17f69bfa759l0i1uwfa0yrdvzcov1i,17f6956fa2el0i209gnb9oi6el6zzg,drops,drop,{}
17f69bfa759l0i1uwfa0yrdvzcov1i,17f69a10accl0i1pfj7uwvc9kzei7d,drops,drop,{}
17f69a48308l0i1ux3rigvv37tx84f,wiki_malenias_great_rune,drops,drop,{}
17f69a48308l0i1ux3rigvv37tx84f,17f69881ac4l0i203w68wewtomkibu,drops,drop,{}
17f69dbf58cl0i1ux7vft8wsk6ejbb,17f698f3aadl0i2038pwv566m3ddrj,drops,drop,{}
17f699a40dfl0i1ux9v66kv7dyxcqx,17f69d80346l0i2md4i5cedghtnq25,found_in,location,{}
17f699a40dfl0i1ux9v66kv7dyxcqx,17f697609cfl0i2sv7ve0yxa2u67ps,drops,drop,{}
17f699a40dfl0i1ux9v66kv7dyxcqx,17f69c517f3l0i1p1j5gib5p31b06c,drops,drop,{}
17f69e11c75l0i1uxa6gb2wpb12ipb,17f6955a164l0i0pbrirpnedg2w1ld,drops,drop,{}
17f698a5648l0i1uxs5sk4eq7dy3vh,17f69c19b1al0i1p77ig6czaoxosd,drops,drop,{}
17f697f4363l0i1uy2tk9e7g2jqcu,wiki_mohgs_great_rune,drops,drop,{}
17f697f4363l0i1uy2tk9e7g2jqcu,wiki_remembrance_of_the_blood_lord,drops,drop,{}
17f69a3b2f2l0i1uy2usy0fea155ms,17f6973c98fl0hynv5gnjf09yvy8y,drops,drop,{}
17f69d3101al0i1uyefex03ulrqazi,17f699ac779l0i2mjk3m8nufj4z7fe,found_in,location,{}
17f69d3101al0i1uyefex03ulrqazi,17f6959a5afl0i1oqpihevj06l1n6f,drops,drop,{}
17f69d3101al0i1uyefex03ulrqazi,17f6956fa2el0i209gnb9oi6el6zzg,drops,drop,{}
17f69d237f0l0i1uytr06ed4gz92qdj,17f69a39644l0i2mr10gkkf9agp8m7,found_in,location,{}
17f69d237f0l0i1uytr06ed4gz92qdj,17f695341ecl0i1oyf1mscsd2tuuid,drops,drop,{}
17f6963b02cl0i1uyzthmeyyq45wna,17f69913ab4l0i1otlpefqm0g08exp,drops,drop,{}
17f69a1be26l0i1uz1kl2dyuibof4d,17f696874a9l0i2mkds3uzk8ol689w,found_in,location,{}
17f69a1be26l0i1uz1kl2dyuibof4d,17f69d61012l0i2sqr9dmioj7dxngi,drops,drop,{}
17f69a1be26l0i1uz1kl2dyuibof4d,17f69c517f3l0i1p1j5gib5p31b06c,drops,drop,{}
17f69a1be26l0i1uz1kl2dyuibof4d,17f69c517f3l0i1p1j5gib5p31b06c,drops,drop,{}
17f69a36cf8l0i1uz6gmzy0dr777k,17f698984e2l0i2mpau822kzbjamiq,found_in,location,{}
17f69a36cf8l0i1uz6gmzy0dr777k,17f69bb8933l0i2mjfr92f3f404f5,found_in,location,{}
17f69a36cf8l0i1uz6gmzy0dr777k,17f69d4ff4fl0i1oq3u3wuk37p9n8y,drops,drop,{}
17f699438b8l0i1uze1493a9h5ipk3,17f69c28019l0i2mrdirn1c1brqcqj,found_in,location,{}
17f699ad704l0i1uzmqfup4jxyto7,17f69b5132al0i2mvbu1p0fqlhzbjb,found_in,location,{}
17f699ad704l0i1uzmqfup4jxyto7,17f69ab06d7l0i1z78pkil3bve557,drops,drop,{}
17f699ad704l0i1uzmqfup4jxyto7,17f69b33f87l0i0o0laxlmu9r8hc2l,drops,drop,{}
17f697e343bl0i1uznxx67p026exqf,17f69a8e6e3l0i2mbkue80sw8q9e9m,found_in,location,{}
17f697e343bl0i1uznxx67p026exqf,17f693478b3l0i0p8awadxwww5fst8,drops,drop,{}
17f697e343bl0i1uznxx67p026exqf,17f69c4120fl0i20v0co0r953ef5a,drops,drop,{}
17f69cfaee3l0i1uzongoyxg1dptid,17f699e1038l0i2mnmh37d1nfbes3b,found_in,location,{}
17f69cfaee3l0i1uzongoyxg1dptid,17f69561a93l0i1zn82gmca4ahwx1j,drops,drop,{}
17f6992c3e3l0i1v0af3d14p4dcgzx,17f69c3d8d6l0i20606xv4qubbfu7p,drops,drop,{}
17f69cf967fl0i1v0cmt73nix34p0c,17f69b3cf18l0i2mqdndclk0p7tmvv,found_in,location,{}
17f69cf967fl0i1v0cmt73nix34p0c,wiki_bloodhound_knight_floh,drops,drop,{}
17f69ae5092l0i1v0k714w3s2jz8tj,17f69c57af4l0i1zzs199y8izriyrk,drops,drop,{}
17f69b19e80l0i1v0x2eima4yhdbd,17f696fcc61l0i2mesvptc01pvt2k,found_in,location,{}
17f69b19e80l0i1v0x2eima4yhdbd,wiki_lorettas_greatbow,drops,drop,{}
17f69de0562l0i1v105zzs817wea9m,17f696bd5cdl0i2mhe4ogfvk5y4fnk,found_in,location,{}
17f699179aal0i1v13n497m1yhps2s,17f69a6e7bal0i2mbxtdxxdlkbn228,found_in,location,{}
17f699179aal0i1v13n497m1yhps2s,17f69b80630l0i2sum3q22drl273qe,drops,drop,{}
17f696d979al0i1v1775oof02bi8oh,wiki_rykards_great_rune,drops,drop,{}
17f696d979al0i1v1775oof02bi8oh,17f6982c67cl0i202fvde54suq2f7,drops,drop,{}
17f698d3cc6l0i1v18wptud2du5ts,17f6981a517l0i2mcvl2m9zjgmsg8q,found_in,location,{}
17f698d3cc6l0i1v18wptud2du5ts,17f696240e3l0i1p2l8nsbm1tuf3kq,drops,drop,{}
17f69ca8b2al0i1v1pg987jdl4cd68,17f69751613l0i0nbp9nsdqjza4rxf,drops,drop,{}
17f69ca8b2al0i1v1pg987jdl4cd68,17f69515b49l0i0nbno079cqzlskebf,drops,drop,{}
17f69ca8b2al0i1v1pg987jdl4cd68,17f6984f152l0i0nc38cztqhxqc6rw,drops,drop,{}
17f69ca8b2al0i1v1pg987jdl4cd68,17f696e0685l0i0nblzy58h0qvewk,drops,drop,{}
17f69ca8b2al0i1v1pg987jdl4cd68,17f6980f9d0l0i1pdddh1p7a12vqnc,drops,drop,{}
17f6982dbf7l0i1v1r3i4p5cy7kvcs,17f69e77e65l0i2mam30d45d317ze1a,found_in,location,{}
17f6987c932l0i1v1t55h6j6fm1l83,17f69cc10e6l0i2mj6tb3yh7hepkwb,found_in,location,{}
17f6987c932l0i1v1t55h6j6fm1l83,wiki_glintstone_sorcerer_ashes,drops,drop,{}
17f6968dcfal0i1v1y8dnaop27j5qg,17f69c37b1fl0i2manq5puf8m7lj6,found_in,location,{}
17f6968dcfal0i1v1y8dnaop27j5qg,17f697f4526l0i2mrynoucp5w0m96s,found_in,location,{}
17f6968dcfal0i1v1y8dnaop27j5qg,17f698fde01l0i208oj9xgaolt458e,drops,drop,{}
17f6968dcfal0i1v1y8dnaop27j5qg,17f698fde01l0i208oj9xgaolt458e,drops,drop,{}
17f6968dcfal0i1v1y8dnaop27j5qg,17f698fde01l0i208oj9xgaolt458e,drops,drop,{}
17f69621aadl0i1v2f5fkvee5z6719,17f6959a6ccl0i20l8o0t2gzabbv4g,drops,drop,{}
17f69621aadl0i1v2f5fkvee5z6719,17f69e2c73dl0i20j8em1vna080i3k,drops,drop,{}
17f697500cal0i1v2hh14qewvbrwrn,17f69d64ed7l0i1p7jmmtge0ag3i4,drops,drop,{}
17f697500cal0i1v2hh14qewvbrwrn,17f695e037bl0i1pqkyetqd7zbu8l,drops,drop,{}
17f696a35c3l0i1v2k2s30hlu2y50j,17f6955db65l0i20ldhqzkp3n6bm9o,drops,drop,{}
17f696a35c3l0i1v2k2s30hlu2y50j,17f696fcbd8l0i20lfm0397f7x0dt3d,drops,drop,{}
17f6992d42bl0i1v2mmti9t0qkl5yj,17f6973b001l0i1p9v6qffivf6eh3,drops,drop,{}
17f6992d42bl0i1v2mmti9t0qkl5yj,17f6964c944l0i201hw2l5522zote8,drops,drop,{}
wiki_battlemage_hugues,17f69866cf7l0i2mmw8ziuo0llo4l8,found_in,location,{}
wiki_bloodhound_knight,17f69a91598l0i2mhgmal00xkh3qlq,found_in,location,{}
wiki_bols_carian_knight,17f698f564bl0i2mgkgv52gb259rpo,found_in,location,{}
wiki_crucible_knight_and_misbegotten_warrior,17f69c84fbal0i2mmf3h8h45isx18a,found_in,location,{}
wiki_demi_human_queen_gilika,17f69b88577l0i2moruy4cidw6hrmb,found_in,location,{}
wiki_golem,17f69a317f4l0i2m9zw0s2ceqss32f,found_in,location,{}
wiki_elder_lion,17f69dbb012l0i2mlliso8pvrpw4an,found_in,location,{}
wiki_sanguine_noble,17f69d9b8fel0i2mq0i7c25oc8ud27,found_in,location,{}
wiki_aeonian_swamp_spirit,17f699bc4c7l0i2ml02kvmdi9fv2a,found_in,location,{}
wiki_albinauric_village_spirit,17f696874a9l0i2mkds3uzk8ol689w,found_in,location,{}
wiki_aureliette,17f695f2681l0i2muinpxbngca38up,found_in,location,{}
wiki_church_of_pilgrimage_spirit,17f698b669el0i2mbhazm5831nokpp,found_in,location,{}
wiki_deathtouched_spirit,17f69886115l0i2m7307w4njyfhwt5,found_in,location,{}
wiki_eclipse_spirit,17f697b13fal0i2mt2gmldy864m2zj,found_in,location,{}
wiki_finger_maiden_therolina,17f69c84fbal0i2mmf3h8h45isx18a,found_in,location,{}
wiki_finger_maiden_therolina,17f696fcc61l0i2mesvptc01pvt2k,found_in,location,{}
