node_id,node_type,name,description,raw_endpoint,extra_json,description_length,location_degree,drop_degree,name_length,has_image,in_degree,out_degree,betweenness,pagerank
17f69d4387al0i1ulpqqumwqw05j3c,boss,Beast Of Farum Azula,Underground-living creature found at Groveside Cave,bosses,"{""drops"": [""1000 Runes"", ""Flamedrake Talisman""], ""healthPoints"": ""1960"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69d4387al0i1ulpqqumwqw05j3c.png"", ""location"": ""Groveside Cave"", ""region"": ""Limgrave""}",51,1,0,20,1,0,3,0.0,0.0005084358134138552
17f69d7fe72l0i1ultk418yedh25s7,boss,Beastman Of Farum Azula,The beasts of Groveside Cave rally around the prowess of the Beastman of Farum Azula,bosses,"{""drops"": [""1000 Runes"", ""Flamedrake Talisman"", ""65,000 Runes"", ""Flamedrake Talisman +2""], ""healthPoints"": ""1,960"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69d7fe72l0i1ultk418yedh25s7.png"", ""location"": ""Groveside Cave, Dragonbarrow Cave"", ""region"": ""Dragonbarrow""}",84,2,0,23,1,1,3,6.64760134600632e-07,0.000652572697552918
17f69c4aacel0i1uluegh15idblimv,boss,Bell Bearing Hunter,"Menacing and slow-paced, it wields a large, red-glowing sword and a shield combined with a full body armor and a chilling cape.",bosses,"{""drops"": [""2700 Runes"", ""Bone Peddler's Bell Bearing""], ""healthPoints"": ""6000 Runes, Meat Peddler's Bell Bearing"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69c4aacel0i1uluegh15idblimv.png"", ""location"": ""Warmaster's Shack, Northern Stormhill, Church of Vows, East Liurnia, Hermit Merchant's Shack, Leyndell Royal Captial, Dragonbarrow, North Caelid"", ""region"": ""Dragonbarrow""}",127,3,0,19,1,2,3,3.988560807603792e-06,0.0007939204504010598
17f69a61779l0i1ulv0a3ru8iy0zh5,boss,Black Blade Kindred,Imposing Gargoyle wielding a massive armament,bosses,"{""drops"": [""88,000 Runes"", ""Gargoyle's Blackblade"", ""Gargoyle's Black Halberd"", ""60,000 Runes"", ""Gargoyle's Black Axe"", ""Gargoyle's Black Blades""], ""healthPoints"": ""12,500"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69a61779l0i1ulv0a3ru8iy0zh5.png"", ""location"": ""Caelid, Forbidden Lands"", ""region"": ""Dragonbarrow""}",45,0,4,19,1,4,11,2.8413747467501303e-05,0.000656981653185102
17f69bd3c06l0i1ulx2jxbiogta1i,boss,Black Knife Assassin,Relentless and agile dark figures carrying a ,bosses,"{""drops"": [""1,600 Runes"", ""Assassin's Crimson Dagger"", ""1, 600 Runes"", ""Assassin's Cerulean Dagger"", ""Sage's Cave"", ""?? Runes"", ""Concealing Veil"", ""11,339 Runes"", ""Black Knife""], ""healthPoints"": ""2750"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69bd3c06l0i1ulx2jxbiogta1i.png"", ""location"": ""Deathtouched Catacombs, Black Knife CatacombsSage's Cave"", ""region"": ""Limgrave""}",45,1,1,20,1,0,2,0.0,0.0005084358134138552
17f69637e92l0i1um8wqsflgk3i9yr,boss,Bloodhound Knight Darriwil,"The merciless bloodhounds attack with grace and agility, never backing down or giving a moment's rest.",bosses,"{""drops"": [""1900 Runes"", ""Bloodhound's Fang""], ""healthPoints"": ""14,792"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69637e92l0i1um8wqsflgk3i9yr.png"", ""location"": ""Limgrave, Forlon Hound Evergaol"", ""region"": ""Limgrave""}",102,0,1,26,1,0,21,0.0,0.0005084358134138552
17f697f48d5l0i1umdbu7v5phffgq,boss,Burial Tree Watchdog,"A large feline-hound looking guardian that serves as a ""Watchdog""for the Burial Tree of the Stormfoot Catacombs.",bosses,"{""drops"": [""800 Runes"", ""Ash of War: Glintsword Arch""], ""healthPoints"": ""???"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f697f48d5l0i1umdbu7v5phffgq.png"", ""location"": ""Limgrave, Stormfoot Catacombs"", ""region"": ""Limgrave""}",112,1,0,20,1,2,19,1.329520269201264e-06,0.0005485887748374325
17f69563d15l0i1umhb4am3xzuib3g,boss,Cleanrot Knight,"Powerful, dexterous Knight capable of distanced, very rapid attacks. Its spear and sword are a threat to any light-armored fighter.",bosses,"{""drops"": [""3,300 Runes"", ""Winged Sword Insignia"", ""Cleanrot Knight's Sword""], ""healthPoints"": ""???"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69563d15l0i1umhb4am3xzuib3g.png"", ""location"": ""Stillwater Cave, Liurnia of the Lakes"", ""region"": ""Liurnia of the Lakes""}",131,1,1,15,1,1,27,5.318081076805056e-06,0.0005250669923529778
17f69d6ca41l0i1umlxg0j36mhrnzr,boss,Borealis The Freezing Fog,"Frost Dragon guarding the frozen lake of Mountaintop of Giants, emits a permanent blizzard.",bosses,"{""drops"": [""100,000 Runes"", ""Dragon Heart""], ""healthPoints"": ""11,100"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69d6ca41l0i1umlxg0j36mhrnzr.png"", ""location"": ""Mountaintops of the Giants"", ""region"": ""Mountaintops of the Giants""}",91,0,1,25,1,4,6,5.318081076805056e-06,0.0007709223946370732
17f698b7d2fl0i1umtkf7cu5a21hdw,boss,Commander Niall,"Commander Niall is a tall and built knight with a peg leg, clad in heavy armor, wielding a halberd that doubles as a battle standard. He is accompanied by two Spectral Banished Knights, one equipped with dual swords and the other equipped with a sword and shield.",bosses,"{""drops"": [""90000 Runes"", ""Veteran's Prosthesis""], ""healthPoints"": ""16,000"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f698b7d2fl0i1umtkf7cu5a21hdw.png"", ""location"": ""Mountaintops of the Giants"", ""region"": ""Mountaintop of the Giants""}",263,0,1,15,1,0,10,0.0,0.0005084358134138552
17f69562d87l0i1umxu2qwle86ai8q,boss,Commander O'neil,"A large and imposing human commander who wields a halberd that doubles as a battle standard, rousing his spirit minions to battle with unquenchable fervor.",bosses,"{""drops"": [""12,000 Runes"", ""Commander's Standard"", ""Unalloyed Gold Needle""], ""healthPoints"": ""11,400"", ""image"": null, ""location"": ""Caelid"", ""region"": ""Caelid""}",155,0,2,16,0,0,13,0.0,0.0005084358134138552
17f699b0755l0i1un48m87fngquaw,boss,Crucible Knight Ordovis,"Large, heavy and fully armored. With the ability to materialize fiery wings and attack from above. Attacks with the huge power of Ordivis's Greatsword and a Greatshield. Slow, but extremely tough and highly dangerous.",bosses,"{""drops"": [""28000 Runes"", ""Ordovis's Greatsword"", ""Crucible Axe Helm"", ""Crucible Axe Armor"", ""Crucible Gauntlets"", ""Crucible Greaves""], ""healthPoints"": ""???"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f699b0755l0i1un48m87fngquaw.png"", ""location"": ""Auriza Hero's Grave"", ""region"": ""Altus Plateau""}",217,0,1,23,1,0,2,0.0,0.0005084358134138552
17f695b37c1l0i1ungf7vjojqaf4zp,boss,Crystalians,Crystal energy in the form of a human with devastating power.,bosses,"{""drops"": [""3300 Runes"", ""Crystal Release"", ""1800 Runes"", ""Somberstone Miner's Bell Bearing (2)"", ""3000 Runes"", ""Smithing-Stone Miner's Bell Bearing (1)"", ""7000 Runes"", ""Crystal Torrent""], ""healthPoints"": ""???"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f695b37c1l0i1ungf7vjojqaf4zp.png"", ""location"": ""Academy Crystal Cave, Altus Tunnel"", ""region"": ""Altus Plateau""}",61,2,0,11,1,0,3,0.0,0.0005084358134138552
17f69e151d8l0i1uo19hl8r6l0snmo,boss,Deathbird,A bipedal bird with arms and a bird skull for a head and is found in various locations,bosses,"{""drops"": [""3,900 Runes"", ""Blue-Feathered Branchsword"", ""Sacrifical Axe"", ""Red-Feathered Branchsword""], ""healthPoints"": ""2750"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69e151d8l0i1uo19hl8r6l0snmo.png"", ""location"": ""Limgrave, Weeping Peninsula, Liurnia of the Lakes"", ""region"": ""Limgrave""}",86,0,0,9,1,31,24,0.001000289898729175,0.0016785150200905345
17f69bcc1cdl0i1uoai2hm5tcbuhh2,boss,Decaying Ekzykes,"A pale white dragon — its scales blighted by the same scarlet rot that plagues the region of Caelid. It silently waits along the southern highway, awaiting unsuspecting travelers to fall prey to its deathly onslaught.",bosses,"{""drops"": [""38,000 Runes"", ""Dragon Heart""], ""healthPoints"": ""23,731"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69bcc1cdl0i1uoai2hm5tcbuhh2.png"", ""location"": ""Caelid"", ""region"": ""Caelid""}",217,0,1,16,1,8,4,1.1965682422811377e-05,0.0009705632333283916
17f6961da46l0i1uoh7hemoben3dtg,boss,Demi-human Chief,"The darkness of Coastal Cave hides a den of those who may look almost human, but are certainly not.",bosses,"{""drops"": [""900 Runes"", ""Tailoring Tools"", ""Sewing Needle""], ""healthPoints"": ""???"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f6961da46l0i1uoh7hemoben3dtg.png"", ""location"": ""Coastal Cave"", ""region"": ""Limgrave""}",99,1,2,16,1,0,3,0.0,0.0005084358134138552
17f69559137l0i1uoqf3qzndh0901t,boss,Demi-human Queen Maggie,Sovereign Demi-Human creature roaming the lands of Mt. Gelmir,bosses,"{""drops"": [""13000 Runes"", ""Memory Stone"", ""Golden Rune [1]""], ""healthPoints"": ""???"", ""image"": null, ""location"": ""Mt. Gelmir"", ""region"": ""Mount Gelmir""}",61,0,2,23,0,0,10,0.0,0.0005084358134138552
17f69518792l0i1up7fr7vzvqcmzf,boss,Divine Bridge Golem,Enormously large and lethargic Golem that slowly storms into battle when it becomes aware of your presence.,bosses,"{""drops"": [""2992 Runes""], ""healthPoints"": ""???"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69518792l0i1up7fr7vzvqcmzf.png"", ""location"": ""Lyendell, Royal Capital"", ""region"": ""Altus Plateau""}",107,0,0,19,1,0,3,0.0,0.0005084358134138552
17f69b39c43l0i1up7iq7q4lvvgyc,boss,Demi-human Queen Margot,Sovereign Demi-Human creature concealed within isolated caves.,bosses,"{""drops"": [""11,000 Runes"", ""Jar Cannon""], ""healthPoints"": ""???"", ""image"": null, ""location"": ""Mt. Gelmir"", ""region"": ""Mount Gelmir""}",62,0,1,23,0,6,3,1.1965682422811377e-05,0.0012033666306424662
17f69625d6el0i1upqw478c5kvsjv3,boss,Draconic Tree Sentinel,Massive knight clad in golden armor atop a giant horse.,bosses,"{""drops"": [""50,000 Runes"", ""Dragon Greatclaw"", ""Dragonclaw Shield""], ""healthPoints"": ""8,398"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69625d6el0i1upqw478c5kvsjv3.png"", ""location"": ""Capital Outskirts Crumbling Farum Azula"", ""region"": ""Altus Plateau""}",55,0,1,22,1,0,1,0.0,0.0005084358134138552
17f69de1071l0i1uprrms3umg3rug,boss,Dragonkin Soldier,"A large, hostile humanoid creature awaken from its drowse straight into battle.",bosses,"{""drops"": [""16000 Runes"", ""Dragon Halberd""], ""healthPoints"": ""???"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69de1071l0i1uprrms3umg3rug.png"", ""location"": ""Siofra River, Lake of Rot"", ""region"": ""Limgrave""}",79,0,1,17,1,1,3,2.326660471102212e-06,0.0007246411396224494
17f69b43b78l0i1upyrupf0wna8q7a,boss,Cemetery Shade,Amorphous and shadowy being belonging to the catacombs,bosses,"{""drops"": [""2200 Runes"", ""Lhutel the Headless"", ""xx Runes"", ""Twinsage Sorcerer Ashes"", ""Kindred of Rot Ashes""], ""healthPoints"": ""???"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69b43b78l0i1upyrupf0wna8q7a.png"", ""location"": ""Tombsward Catacombs, Black Knife Catacombs,Caelid Catacombs, "", ""region"": ""Caelid""}",54,3,0,14,1,0,3,0.0,0.0005084358134138552
17f69a6fae3l0i1uq63au7m71cs8mh,boss,Crucible Knight,"A formidable, dexterous fighter skilled in melee combat.",bosses,"{""drops"": [""2100 Runes"", ""Aspects of the Crucible: Tail"", ""1500 Runes"", ""Aspects of the Crucible: Horns""], ""healthPoints"": ""Stormhill Evergaol:, 2750"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69a6fae3l0i1uq63au7m71cs8mh.png"", ""location"": ""Stormhill Evergaol,, Stormveil Castle,, Auriza Hero's Grave"", ""region"": ""Altus Plateau""}",56,1,0,15,1,4,10,6.581125332546257e-05,0.0008290281396145351
17f699200d2l0i1uqbs9w1ijmp2ner,boss,Dragonkin Soldier Of Nokstella,Huge humanoid-like creature located at the underground caves of Uhl Palace Ruins,bosses,"{""drops"": [""12000 Runes"", ""Frozen Lightning Spear""], ""healthPoints"": ""≈4372"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f699200d2l0i1uqbs9w1ijmp2ner.png"", ""location"": ""Ainsel River"", ""region"": ""Limgrave""}",80,0,0,30,1,0,2,0.0,0.0005084358134138552
17f69bf3366l0i1uqds10qc8exqn1ik,boss,Dragonlord Placidusax,"A massive in size, two-headed dragon capable of immense acts of annihilation.",bosses,"{""drops"": [""280000 Runes"", ""Remembrance of the Dragonlord""], ""healthPoints"": ""≈26651"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69bf3366l0i1uqds10qc8exqn1ik.png"", ""location"": ""Crumbling Farum Azula"", ""region"": ""Mountaintops of the Giants""}",77,0,1,21,1,2,5,1.329520269201264e-06,0.000679246774674544
17f699dadfbl0i1uqmgi50oii11eaj,boss,Elden Beast,"It is said that long ago, the Greater Will sent a golden star bearing a beast into the Lands Between, which would later become the Elden Ring.",bosses,"{""drops"": [""500000 Runes"", ""Elden Remembrance""], ""healthPoints"": ""26,880 (GOD)"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f699dadfbl0i1uqmgi50oii11eaj.png"", ""location"": ""Elden Throne"", ""region"": ""Altus Plateau""}",142,0,1,11,1,0,2,0.0,0.0005084358134138552
17f695cb903l0i1uqqf40ik8th6wqw,boss,Elemer Of The Briar,"Wielding the stolen sword from the Marais family, Elemer of the Briar stands at the top of the castle waiting.",bosses,"{""drops"": [""24,000 Runes"", ""Marais Executioner's Sword"", ""Briar Greatshield""], ""healthPoints"": ""???"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f695cb903l0i1uqqf40ik8th6wqw.png"", ""location"": ""The Shaded Castle"", ""region"": ""Altus Plateau""}",110,1,1,19,1,0,2,0.0,0.0005084358134138552
17f69579c3dl0i1uqxt6ul73e103ur,boss,"Esgar, Priest Of Blood",A highly aggressive humanoid priest,bosses,"{""drops"": [""30000 Runes"", ""Lord of Blood's Exultation""], ""healthPoints"": ""???"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69579c3dl0i1uqxt6ul73e103ur.png"", ""location"": ""Leyndell, Royal Capital"", ""region"": ""Altus Plateau""}",35,0,0,22,1,2,4,2.326660471102212e-06,0.0007246411396224494
17f6969fb51l0i1ur3o74ppc7h3gl5,boss,Erdtree Avatar,A large headless create which resembles a tree stump.,bosses,"{""drops"": [""3,600 Runes"", ""Opaline Bubbletear"", ""Crimsonburst Crystal Tear"", ""5,800 Runes"", ""Cerulean Crystal Tear"", ""Ruptured Crystal Tear"", ""5,800 Runes"", ""Holy-Shrouding Cracked Tear"", ""Lightning-Shrouding Cracked Tear"", ""Magic-Shrouding Cracked Tear"", ""9,600 Runes"", ""Greenburst Crystal Tear"", ""Flame-Shrouding Cracked Tear"", ""70,000 Runes"", ""Cerulean Crystal Tear"", ""Crimson Bubbletear""], ""healthPoints"": ""14,992"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f6969fb51l0i1ur3o74ppc7h3gl5.png"", ""location"": ""Minor Erdtree (Weeping Peninsula), Minor Erdtree (Liurnia Southwest), Minor Erdtree (Liurnia Northeast), Minor Erdtree (Caelid), Minor Erdtree (Mountaintops East)"", ""region"": ""Liunia of the Lakes""}",53,3,11,14,1,0,13,0.0,0.0005084358134138552
17f69aae933l0i1urbz9zyz3jjvhjf,boss,Fallingstar Beast,"A massive quadruped with a long spiky tail and a head reminiscent of a centipede's, with massive mandibles protruding from its face. It behaves much like a bull and appears to have seismic powers, allowing it to control the earth within its chamber.",bosses,"{""drops"": [""7,600 Runes"", ""Somberstone Miner's Bell Bearing (1)"", ""Smithing Stone (7) x 5"", ""Somber Smithing Stone (6)"", ""Gravity Stone Chunk x 4""], ""healthPoints"": ""≈8000"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f6969fb51l0i1ur3o74ppc7h3gl5.png"", ""location"": ""Sellia Crystal Tunnel, Caelid, Altus Plateau"", ""region"": ""Caelid""}",249,1,0,17,1,6,13,0.00015683907442344243,0.0007798468586729454
17f69c5a361l0i1urf5b4r5s5cf125,boss,Fell Twins,Two bulky ogre-like creatures fighting side by side with red-hot armament,bosses,"{""drops"": [""29,000 Runes"", ""Omenkiller Rollo""], ""healthPoints"": ""15,664"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69c5a361l0i1urf5b4r5s5cf125.png"", ""location"": ""Capital Outskirts"", ""region"": ""Altus Plateau""}",73,1,0,10,1,0,1,0.0,0.0005084358134138552
17f695d42c3l0i1uriibjok1ydfodg,boss,Fia's Champions,Five invaders summoned in an endurance combat in three waves.,bosses,"{""drops"": [""40000 Runes"", ""Fia's Mist""], ""healthPoints"": ""???"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f695d42c3l0i1uriibjok1ydfodg.png"", ""location"": ""Deeproot Depths"", ""region"": ""Limgrave""}",61,0,0,15,1,0,1,0.0,0.0005084358134138552
17f69725115l0i1urx3t47u0gfs43,boss,Flying Dragon Agheel,A feared-by-most massive dragon located within the Dragon-Burnt Ruins in Limgrave,bosses,"{""drops"": [""5000 Runes"", ""Dragon Heart""], ""healthPoints"": ""≈3200 "", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69725115l0i1urx3t47u0gfs43.png"", ""location"": ""Limgrave, Dragon-Burnt Ruins"", ""region"": ""Limgrave""}",81,1,1,20,1,1,23,3.988560807603792e-06,0.0005290267968622927
17f69ba1aa7l0i1us08w3dodkoeju,boss,Fire Giant,"Upon realizing the flames of their forge would never die, Queen Marika, marked him with a curse. ""O trifling giant, mayest thou tend thy, flame for eternity.",bosses,"{""drops"": [""180,000 Runes"", ""Remembrance of the Fire Giant""], ""healthPoints"": ""126,720"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69ba1aa7l0i1us08w3dodkoeju.png"", ""location"": ""Mountaintops of the Giants"", ""region"": ""Mountaintops of the Giants""}",157,0,1,10,1,2,8,1.329520269201264e-06,0.0006103258559731175
17f69846e66l0i1us1stxjbqloi1z,boss,Flying Dragon Greyll,"A large grey dragon, Flying Dragon Greyll patrols the bridge breathing fire and flying down on those trying to cross.",bosses,"{""drops"": [""80,000 Runes"", ""Dragon Heart""], ""healthPoints"": ""11,628 Greater Foe"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69846e66l0i1us1stxjbqloi1z.png"", ""location"": ""Caelid"", ""region"": ""Caelid""}",117,0,1,20,1,2,10,1.329520269201264e-06,0.000583580340121856
17f696b2a70l0i1us26mtvbp7p85,boss,Frenzied Duelist,A humanoid with heavy armor and a massive axe.,bosses,"{""drops"": [""6700 Runes"", ""Putrid Corpse Ashes""], ""healthPoints"": ""≈2200"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f696b2a70l0i1us26mtvbp7p85.png"", ""location"": ""Gaol Cave"", ""region"": ""Caelid""}",46,1,0,16,1,0,1,0.0,0.0005084358134138552
17f699fafc0l0i1usmk2s2oybvx44a,boss,God-devouring Serpent,"A massive, menacing reptile that poses a remarkable threat.",bosses,"{""drops"": [""See Rykard, Lord of Blasphemy""], ""healthPoints"": ""≈30439"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f699fafc0l0i1usmk2s2oybvx44a.png"", ""location"": ""Mt. Gelmir"", ""region"": ""Mount Gelmir""}",59,0,0,21,1,4,4,0.0,0.0007731612339951383
17f6953dec4l0i1uso41jlanmo9c4v,boss,Glintstone Dragon Smarag,A fearsome magic dragon with crystalized magic stone for scales. Jealously guards the entrance to the Academy's Crystal Cave.,bosses,"{""drops"": [""14,699 Runes"", ""Dragon Heart""], ""healthPoints"": ""6,100"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f6953dec4l0i1uso41jlanmo9c4v.png"", ""location"": ""Liurnia of the Lakes"", ""region"": ""Liurnia of the Lakes""}",125,0,1,24,1,0,26,0.0,0.0005084358134138552
17f695d390el0i1usszzihpctlfb2,boss,Glintstone Dragon Adula,"A powerful and devastating dragon, a menace for all type of fighters.",bosses,"{""drops"": [""120,000 Runes"", ""Adula's Moonblade"", ""3x Dragon Heart"", ""No Runes""], ""healthPoints"": ""≈11550"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f695d390el0i1usszzihpctlfb2.png"", ""location"": ""Liurnia of The Lakes"", ""region"": ""Liurnia of the Lakes""}",69,0,0,23,1,2,23,0.0,0.0005416061499371352
17f69c4aefal0i1usvodp9osviy7v,boss,Godefroy The Grafted,A member of Godrick the Grafted's family imprisoned by the Dragon Knight during the War of the Shattering.,bosses,"{""drops"": [""26,000 Runes (NG)"", ""Godfrey Icon""], ""healthPoints"": ""???"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69c4aefal0i1usvodp9osviy7v.png"", ""location"": ""Golden Lineage Evergaol"", ""region"": ""Altus Plateau""}",106,1,0,20,1,1,1,0.0,0.0007246411396224494
17f696099a7l0i1ut7jqzmbg7hm5tk,boss,Godfrey The Grafted,,bosses,"{""drops"": [""26,000 Runes"", ""Other Drops"", ""Godfrey Icon""], ""healthPoints"": ""???"", ""image"": null, ""location"": ""Golden Lineage Evergaol"", ""region"": ""Altus Plateau""}",0,1,0,19,0,0,2,0.0,0.0005084358134138552
17f69a82a2el0i1uta5rxvqv53g7e,boss,"Godfrey, First Elden Lord (hoarah Loux)",I've given thee courtesy enough. Now I fight as Hoarah Loux. Warrior!,bosses,"{""drops"": [""300,000  Runes"", ""Remembrance of Hoarah Loux""], ""healthPoints"": ""≈2200"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69a82a2el0i1uta5rxvqv53g7e.png"", ""location"": ""Leyndell, Capital of Ash"", ""region"": ""Altus Plateau""}",69,0,1,39,1,3,3,1.994280403801896e-06,0.0009214271315469712
