node_id,node_type,name,description,source,metadata,community,centrality
17f69d2531dl0i1z4jsm5titqsarvk,item,Somber Smithing Stone [5],Gold smithing stone drained of color.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69d2531dl0i1z4jsm5titqsarvk.png"", ""type"": ""Misc""}",15,0.0
17f69a51074l0i1z4pallnm7f1pi2,item,Somber Smithing Stone [6],Large gold smithing stone drained of color.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69a51074l0i1z4pallnm7f1pi2.png"", ""type"": ""Misc""}",17,0.0
17f69ae2e0el0i1z4s9cuuv3okbw3,item,Somber Smithing Stone [7],Polar smithing stone drained of color.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69ae2e0el0i1z4s9cuuv3okbw3.png"", ""type"": ""Misc""}",21,0.0
17f69c9d615l0i1z5a6lrzcg89z4st,item,Somber Smithing Stone [9],Ancient smithing stone drained of color,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69c9d615l0i1z5a6lrzcg89z4st.png"", ""type"": ""Misc""}",22,0.0
17f69e30537l0i1z5d38vjwm2mnuun,item,Somber Ancient Dragon Smithing Stone,"Ancient dragonrock smithing stone drained of color. A scale of the Ancient Dragonlord, and hidden treasure of Farum Azula. Somber Ancient Dragon Smithing Stone is an Upgrade Material in Elden Ring. Somber Ancient Dragon Smithing Stone strengthens special armaments to +10. Upgrade Materials can be acquired through exploration, looting it from specified areas of a Location, dropped by a specific Enemy or Boss, given by an NPC, or sold by a Merchant.",merged,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69e30537l0i1z5d38vjwm2mnuun.png"", ""type"": ""Misc"", ""wiki_url"": ""https://eldenring.wiki.fextralife.com/Somber+Ancient+Dragon+Smithing+Stone""}",6,0.0
17f69bd53b9l0i1z5eu0n5wz5ntzp4,item,Recusant Finger,Item for online play.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69bd53b9l0i1z5eu0n5wz5ntzp4.png"", ""type"": ""Consumable""}",23,0.0
17f69c09b3fl0i1z5i8s4czdm29hd,item,Smithing Stone [1],Stone used to smith a variety of armaments. A shard found in plenty.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69c09b3fl0i1z5i8s4czdm29hd.png"", ""type"": ""Misc""}",199,0.0
17f6962abacl0i1z5t9om2a1tau3gk,item,Grave Glovewort [1],White flower that blooms in catacombs. Each a soundless bell used to summon spirits. Strengthens ashes to +1. The art of strengthening ashes is known as spirit tuning. only a spirit tuner may perform this deed.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f6962abacl0i1z5t9om2a1tau3gk.png"", ""type"": ""Misc""}",9,0.0
17f6968996al0i1z5x4u91mr8eawhi,item,Grave Glovewort [2],"White flower that blooms in catacombs. Each a soundless bell used to summon spirits. Strengthens ashes to +2. Spirit tuning is not merely the simple act of imbuing strength. It is an art that lies somewhere between tuning an instrument and conducting a conversation, leaving both parties enriched.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f6968996al0i1z5x4u91mr8eawhi.png"", ""type"": ""Misc""}",9,0.0
17f69d99dcal0i1z5xb44ygddyj8ph,item,Grave Glovewort [3],White flower that blooms in catacombs. Each a soundless bell used to summon spirits.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69d99dcal0i1z5xb44ygddyj8ph.png"", ""type"": ""Misc""}",24,0.0
17f69be8c68l0i1z60n8krxbcmu5lh,item,Grave Glovewort [4],White flower that blooms in catacombs. Each soundless bell used to summon spirits.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69be8c68l0i1z60n8krxbcmu5lh.png"", ""type"": ""Misc""}",25,0.0
17f6950a8a2l0i1z6dbq0oi9fi4kl,item,Grave Glovewort [5],White flower that blooms in catacombs. Each a soundless bell used to summon spirits.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f6950a8a2l0i1z6dbq0oi9fi4kl.png"", ""type"": ""Misc""}",26,0.0
17f6959b3eal0i1z6gieqkdipn6qdw,item,Grave Glovewort [7],White flower that blooms in catacombs. Each a soundless bell used to summon spirits.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f6959b3eal0i1z6gieqkdipn6qdw.png"", ""type"": ""Misc""}",27,0.0
17f69846a4fl0i1z6ghc5th9zqh3c,item,Grave Glovewort [6],White flower that blooms in catacombs. Each a soundless bell used to summon spirits.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69846a4fl0i1z6ghc5th9zqh3c.png"", ""type"": ""Misc""}",28,0.0
17f695e071dl0i1z6jeqn98zpx0tw,item,Grave Glovewort [8],White flower that blooms in catacombs. Each a soundless bell used to summon spirits.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f695e071dl0i1z6jeqn98zpx0tw.png"", ""type"": ""Misc""}",29,0.0
17f69550850l0i1z6ttayiwnk136e7,item,Grave Glovewort [9],White flower that blooms in catacombs. Each a soundless bell used to summon spirits.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69550850l0i1z6ttayiwnk136e7.png"", ""type"": ""Misc""}",30,0.0
17f6983e8a7l0i1z70f50kbxtxa1we,item,Ghost Glovewort [2],White flower that blooms in catacombs. A spirit nestles close to it.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f6983e8a7l0i1z70f50kbxtxa1we.png"", ""type"": ""Misc""}",31,0.0
17f69ab06d7l0i1z78pkil3bve557,item,Great Grave Glovewort,White flower that blooms in catacombs. An especially large specimen. Great Grave Glovewort is an Upgrade Material in Elden Ring. Great Grave Glovewort is a material used to increase the level of standard ashes to their final level at +10. They are available through looting or through drops from bosses in lategame areas.,merged,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69ab06d7l0i1z78pkil3bve557.png"", ""type"": ""Misc"", ""wiki_url"": ""https://eldenring.wiki.fextralife.com/Great+Grave+Glovewort""}",32,0.0
17f69d7e3b1l0i1z7a3m84mb5vo2mp,item,Ghost Glovewort [1],White flower that blooms in catacombs. A spirit nestles close to it. Strengthens renowned ashes to +1. Ashes which keep their renown even after death cannot be strengthened by merely corporal glovewort.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69d7e3b1l0i1z7a3m84mb5vo2mp.png"", ""type"": ""Misc""}",9,0.0
17f6989521fl0i1z7e7voj3cl6foma,item,Ghost Glovewort [3],White flower that blooms in catacombs. A spirit nestles close it.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f6989521fl0i1z7e7voj3cl6foma.png"", ""type"": ""Misc""}",33,0.0
17f695bf162l0i1z7hktcp73asrcps,item,Ghost Glovewort [4],White flower that blooms in catacombs. A spirit nestles close to it.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f695bf162l0i1z7hktcp73asrcps.png"", ""type"": ""Misc""}",34,0.0
17f69d3fc22l0i1z7svk9t9mb26sha,item,Ghost Glovewort [5],White flower that blooms in catacombs. A spirit nestles close to it.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69d3fc22l0i1z7svk9t9mb26sha.png"", ""type"": ""Misc""}",35,0.0
17f69baadd3l0i1z87ddphdbju5ve,item,Ghost Glovewort [7],White flower that blooms in catacombs.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69baadd3l0i1z87ddphdbju5ve.png"", ""type"": ""Misc""}",36,0.0
17f69900ffcl0i1z8d2nt7ic89ll99,item,Ghost Glovewort [8],White flower that blooms in catacombs.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69900ffcl0i1z8d2nt7ic89ll99.png"", ""type"": ""Misc""}",37,0.0
17f69ddcb7bl0i1z8k1ng5vrva9zl,item,Ghost Glovewort [6],White flower that blooms in catacombs. A spirit nestles close to it.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69ddcb7bl0i1z8k1ng5vrva9zl.png"", ""type"": ""Misc""}",38,0.0
17f69a7b6cel0i1z8mdm78yqop5r9s,item,Ghost Glovewort [9],White flower that blooms in catacombs. A spirit nestles close to it.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69a7b6cel0i1z8mdm78yqop5r9s.png"", ""type"": ""Misc""}",39,0.0
17f69a3148al0i1z8zpm2kxo9k7tsb,item,Great Ghost Glovewort,White flower that blooms in catacombs. A spirit nestles close to this grand specimen.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69a3148al0i1z8zpm2kxo9k7tsb.png"", ""type"": ""Misc""}",40,0.0
17f698d84c6l0i1z9j88aqgzk91xi,item,Armorer's Cookbook [2],Record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with decay; the application of fire in particular.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f698d84c6l0i1z9j88aqgzk91xi.png"", ""type"": ""Misc""}",41,0.0
17f6973b0dfl0i1z9j8z53v119vieb,item,Armorer's Cookbook [3],A record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with rot; the application of fire in particular.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f6973b0dfl0i1z9j8z53v119vieb.png"", ""type"": ""Misc""}",41,0.0
17f69580265l0i1z9ldv7cl2ik9fj,item,Armorer's Cookbook [4],A record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with rot; the application of fire in particular.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69580265l0i1z9ldv7cl2ik9fj.png"", ""type"": ""Misc""}",41,0.0
17f695b03bcl0i1z9pei7soclm9rrb,item,Armorer's Cookbook [1],Record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with decay; the application of fire in particular.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f695b03bcl0i1z9pei7soclm9rrb.png"", ""type"": ""Misc""}",41,0.0
17f69d9a17el0i1za4u32e9vwk8fod,item,Armorer's Cookbook [5],A record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with rot; the application of fire in particular. Acquire the knowledge to craft the following: - Immunizing Cured Meat - Immunizing White Cured Meat,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69d9a17el0i1za4u32e9vwk8fod.png"", ""type"": ""Misc""}",42,0.0007580005271711594
17f6964fe20l0i1za7f9d49sepjq0m,item,Armorer's Cookbook [6],A record of crafting techniques left by an armorer who served the great general Radahn.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f6964fe20l0i1za7f9d49sepjq0m.png"", ""type"": ""Misc""}",41,0.0
17f69648c8cl0i1za89md3xfqou70r,item,Armorer's Cookbook [7],A record of crafting techniques left by an armorer who served the great general Radahn.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69648c8cl0i1za89md3xfqou70r.png"", ""type"": ""Misc""}",41,0.0
17f69e36ce5l0i1zab98x6rqsnkacj,item,Fevor's Cookbook [1],"Record of crafting techniques left by a man who was denied the path of becoming a Finger Maiden. He instead became a missionary, spreading holy teachings.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69e36ce5l0i1zab98x6rqsnkacj.png"", ""type"": ""Misc""}",43,0.0
17f69d428c1l0i1zanj5zzei2c67ey,item,Fevor's Cookbook [2],"Record of crafting techniques left by a man who was denied the path of becoming a Finger Maiden. He instead became a missionary, spreading holy teachings.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69d428c1l0i1zanj5zzei2c67ey.png"", ""type"": ""Misc""}",44,0.0
17f69b54da8l0i1zarwlosa6oatghm,item,Missionary's Cookbook [1],"A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69b54da8l0i1zarwlosa6oatghm.png"", ""type"": ""Misc""}",45,0.0
17f696be910l0i1zb6pflfp474bc8t,item,Missionary's Cookbook [3],"A record of crafting techniques left by a man who, unable to",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f696be910l0i1zb6pflfp474bc8t.png"", ""type"": ""Misc""}",46,0.0
17f696c4efbl0i1zbbjda4qxmf8kzc,item,Missionary's Cookbook [4],"A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: -Holy Grease -Drawstring Holy Grease -Haligbone Arrow -Haligbone Arrow (Fletched) -Haligbone Bolt",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f696c4efbl0i1zbbjda4qxmf8kzc.png"", ""type"": ""Misc""}",126,0.0
17f69c220f9l0i1zbcayfdgzc5yh2k,item,Missionary's Cookbook [5],"A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69c220f9l0i1zbcayfdgzc5yh2k.png"", ""type"": ""Misc""}",48,0.0
17f69b599fbl0i1zbpzd0gjsxcjbp9,item,Somber Smithing Stone [8],Large polar smithing stone drained of color.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69b599fbl0i1zbpzd0gjsxcjbp9.png"", ""type"": ""Misc""}",49,0.0
17f6961bfa3l0i1zbvsgmyyg8a7as7,item,Missionary's Cookbook [7],"A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: -Rejuvenating Boluces",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f6961bfa3l0i1zbvsgmyyg8a7as7.png"", ""type"": ""Misc""}",50,0.0
17f69af7badl0i1zbxm0vgkl5hrbpb,item,Deserter's Cookbook [1],A fugitive deserter's record of crafting techniques. Contains knowledge for surviving in the face of utter scarcity.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69af7badl0i1zbxm0vgkl5hrbpb.png"", ""type"": ""Expands crafting repertoire""}",51,0.0
17f69d94b09l0i1zca6dbwhl4hzv3,item,Deserter's Cookbook [2],A fugitive deserter's record of crafting techniques. Contains knowledge for surviving in the face of utter scarcity.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69d94b09l0i1zca6dbwhl4hzv3.png"", ""type"": ""Expands crafting repertoire""}",52,0.0
17f699cc01dl0i1zcfxbtac79ecrh9,item,Nomadic Warrior's Cookbook [1],A record of crafting techniques left by roaming nomad warriors.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f699cc01dl0i1zcfxbtac79ecrh9.png"", ""type"": ""Misc""}",53,0.0
17f698f3124l0i1zcgfoaub4hhz5c,item,Nomadic Warrior's Cookbook [2],A record of crafting techniques left by roaming nomad warriors.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f698f3124l0i1zcgfoaub4hhz5c.png"", ""type"": ""Misc""}",54,0.0
17f6977f601l0i1zcudmlqwbhxvxlg,item,Nomadic Warrior's Cookbook [3],A record of crafting techniques left by roaming nomad warriors.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f6977f601l0i1zcudmlqwbhxvxlg.png"", ""type"": ""Misc""}",55,0.0
17f6966acccl0i1zd18qqiub6s1ytp,item,Nomadic Warrior's Cookbook [5],A record of crafting techniques left by roaming nomad warriors.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f6966acccl0i1zd18qqiub6s1ytp.png"", ""type"": ""Misc""}",56,0.0
17f6988025el0i1zd1qoym326hibp8,item,Nomadic Warrior's Cookbook [4],A record of crafting techniques left by roaming nomad warriors.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f6988025el0i1zd1qoym326hibp8.png"", ""type"": ""Misc""}",57,0.0
17f69ce4214l0i1zd7ncu58jp3qh2d,item,Nomadic Warrior's Cookbook [6],A record of crafting techniques left by roaming nomad warriors.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69ce4214l0i1zd7ncu58jp3qh2d.png"", ""type"": ""Misc""}",58,0.0
17f6957d138l0i1zddedaluxtisiod,item,Nomadic Warrior's Cookbook [7],A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f6957d138l0i1zddedaluxtisiod.png"", ""type"": ""Misc""}",59,0.0
17f69535af1l0i1zdkjerpcqovjl5s,item,Nomadic Warrior's Cookbook [9],A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69535af1l0i1zdkjerpcqovjl5s.png"", ""type"": ""Misc""}",60,0.0
17f69b034fdl0i1zdqd6d630e0zg57,item,Nomadic Warrior's Cookbook [10],A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity. Acquire the knowledge to craft the following: -Stormwing Bone Arrow,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69b034fdl0i1zdqd6d630e0zg57.png"", ""type"": ""Misc""}",61,0.0
17f698ea0a5l0i1zdvil6p7p73nqco,item,Nomadic Warrior's Cookbook [11],A record of crafting techniques left by roaming nomad warriors.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f698ea0a5l0i1zdvil6p7p73nqco.png"", ""type"": ""Misc""}",62,0.0
17f69c5fc0fl0i1ze224rq2oxc9r49,item,Nomadic Warrior's Cookbook (12),A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity. Acquire the knowledge to craft the following: -Cursed-Blood Pots,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69c5fc0fl0i1ze224rq2oxc9r49.png"", ""type"": ""Misc""}",63,0.0
17f69a93cc2l0i1ze8stwtckka37bd,item,Nomadic Warrior's Cookbook [13],A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69a93cc2l0i1ze8stwtckka37bd.png"", ""type"": ""Misc""}",64,0.0
17f69cf9bd0l0i1zec4cc7daag8e6w,item,Nomadic Warrior's Cookbook [14],A record of crafting techniques left by roaming nomad warriors.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69cf9bd0l0i1zec4cc7daag8e6w.png"", ""type"": ""Misc""}",65,0.0
17f698fdea2l0i1zeqb3eyjn1dbptq,item,Fevor's Cookbook [3],A record of crafting techniques left by a man who was utterly captivated by St. Trina. He continued the search for her in his slumber. Acquire the knowledge to craft the following: - Bewitching Branch,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f698fdea2l0i1zeqb3eyjn1dbptq.png"", ""type"": ""Misc""}",66,0.0006098153547133139
17f6996b11el0i1zevwdyb7l44ds8u,item,Nomadic Warrior's Cookbook [16],A record of crafting techniques left by nomad warriors.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f6996b11el0i1zevwdyb7l44ds8u.png"", ""type"": ""Misc""}",67,0.0
